Date,Median Days To Close,RegionID,RegionName,RegionType,SizeRank,StateName
2020-11-30,46.0,394566,"Elko, NV",msa,573,NV
2020-12-31,47.0,394566,"Elko, NV",msa,573,NV
2021-01-31,50.0,394566,"Elko, NV",msa,573,NV
2021-02-28,49.0,394566,"Elko, NV",msa,573,NV
2021-03-31,48.0,394566,"Elko, NV",msa,573,NV
2021-04-30,47.0,394566,"Elko, NV",msa,573,NV
2021-05-31,47.0,394566,"Elko, NV",msa,573,NV
2021-06-30,46.0,394566,"Elko, NV",msa,573,NV
2021-07-31,46.0,394566,"Elko, NV",msa,573,NV
2021-08-31,47.0,394566,"Elko, NV",msa,573,NV
2021-09-30,49.0,394566,"Elko, NV",msa,573,NV
2021-10-31,50.0,394566,"Elko, NV",msa,573,NV
2021-11-30,51.0,394566,"Elko, NV",msa,573,NV
2021-12-31,51.0,394566,"Elko, NV",msa,573,NV
2022-01-31,50.0,394566,"Elko, NV",msa,573,NV
2022-02-28,49.0,394566,"Elko, NV",msa,573,NV
2022-03-31,47.0,394566,"Elko, NV",msa,573,NV
2022-04-30,44.0,394566,"Elko, NV",msa,573,NV
2022-05-31,42.0,394566,"Elko, NV",msa,573,NV
2022-06-30,38.0,394566,"Elko, NV",msa,573,NV
2022-07-31,37.0,394566,"Elko, NV",msa,573,NV
2022-08-31,37.0,394566,"Elko, NV",msa,573,NV
2022-09-30,41.0,394566,"Elko, NV",msa,573,NV
2022-10-31,41.0,394566,"Elko, NV",msa,573,NV
2022-11-30,40.0,394566,"Elko, NV",msa,573,NV
2022-12-31,38.0,394566,"Elko, NV",msa,573,NV
2023-01-31,37.0,394566,"Elko, NV",msa,573,NV
2023-02-28,37.0,394566,"Elko, NV",msa,573,NV
2023-03-31,36.0,394566,"Elko, NV",msa,573,NV
2023-04-30,38.0,394566,"Elko, NV",msa,573,NV
2023-05-31,37.0,394566,"Elko, NV",msa,573,NV
2023-06-30,38.0,394566,"Elko, NV",msa,573,NV
2023-07-31,37.0,394566,"Elko, NV",msa,573,NV
2023-08-31,36.0,394566,"Elko, NV",msa,573,NV
2023-09-30,36.0,394566,"Elko, NV",msa,573,NV
2023-10-31,36.0,394566,"Elko, NV",msa,573,NV
2023-11-30,36.0,394566,"Elko, NV",msa,573,NV
2023-12-31,35.0,394566,"Elko, NV",msa,573,NV
2024-01-31,36.0,394566,"Elko, NV",msa,573,NV
2024-02-29,35.0,394566,"Elko, NV",msa,573,NV
2024-03-31,35.0,394566,"Elko, NV",msa,573,NV
2024-04-30,34.0,394566,"Elko, NV",msa,573,NV
2024-05-31,36.0,394566,"Elko, NV",msa,573,NV
2024-06-30,38.0,394566,"Elko, NV",msa,573,NV
2024-07-31,38.0,394566,"Elko, NV",msa,573,NV
2024-08-31,37.0,394566,"Elko, NV",msa,573,NV
2018-03-31,34.0,394517,"Danville, KY",msa,574,KY
2018-04-30,32.0,394517,"Danville, KY",msa,574,KY
2018-05-31,34.0,394517,"Danville, KY",msa,574,KY
2018-06-30,33.0,394517,"Danville, KY",msa,574,KY
2018-07-31,32.0,394517,"Danville, KY",msa,574,KY
2018-08-31,31.0,394517,"Danville, KY",msa,574,KY
2018-09-30,30.0,394517,"Danville, KY",msa,574,KY
2018-10-31,32.0,394517,"Danville, KY",msa,574,KY
2018-11-30,31.0,394517,"Danville, KY",msa,574,KY
2018-12-31,34.0,394517,"Danville, KY",msa,574,KY
2019-01-31,30.0,394517,"Danville, KY",msa,574,KY
2019-02-28,28.0,394517,"Danville, KY",msa,574,KY
2019-03-31,28.0,394517,"Danville, KY",msa,574,KY
2019-04-30,31.0,394517,"Danville, KY",msa,574,KY
2019-05-31,33.0,394517,"Danville, KY",msa,574,KY
2019-06-30,33.0,394517,"Danville, KY",msa,574,KY
2019-07-31,33.0,394517,"Danville, KY",msa,574,KY
2019-08-31,33.0,394517,"Danville, KY",msa,574,KY
2019-09-30,33.0,394517,"Danville, KY",msa,574,KY
2019-10-31,34.0,394517,"Danville, KY",msa,574,KY
2019-11-30,35.0,394517,"Danville, KY",msa,574,KY
2019-12-31,35.0,394517,"Danville, KY",msa,574,KY
2020-01-31,31.0,394517,"Danville, KY",msa,574,KY
2020-02-29,31.0,394517,"Danville, KY",msa,574,KY
2020-03-31,30.0,394517,"Danville, KY",msa,574,KY
2020-04-30,36.0,394517,"Danville, KY",msa,574,KY
2020-05-31,37.0,394517,"Danville, KY",msa,574,KY
2020-06-30,38.0,394517,"Danville, KY",msa,574,KY
2020-07-31,37.0,394517,"Danville, KY",msa,574,KY
2020-08-31,38.0,394517,"Danville, KY",msa,574,KY
2020-09-30,39.0,394517,"Danville, KY",msa,574,KY
2020-10-31,38.0,394517,"Danville, KY",msa,574,KY
2020-11-30,37.0,394517,"Danville, KY",msa,574,KY
2020-12-31,38.0,394517,"Danville, KY",msa,574,KY
2021-01-31,38.0,394517,"Danville, KY",msa,574,KY
2021-02-28,37.0,394517,"Danville, KY",msa,574,KY
2021-03-31,36.0,394517,"Danville, KY",msa,574,KY
2021-04-30,37.0,394517,"Danville, KY",msa,574,KY
2021-05-31,39.0,394517,"Danville, KY",msa,574,KY
2021-06-30,39.0,394517,"Danville, KY",msa,574,KY
2021-07-31,40.0,394517,"Danville, KY",msa,574,KY
2021-08-31,38.0,394517,"Danville, KY",msa,574,KY
2021-09-30,37.0,394517,"Danville, KY",msa,574,KY
2021-10-31,37.0,394517,"Danville, KY",msa,574,KY
2021-11-30,37.0,394517,"Danville, KY",msa,574,KY
2021-12-31,38.0,394517,"Danville, KY",msa,574,KY
2022-01-31,38.0,394517,"Danville, KY",msa,574,KY
2022-02-28,39.0,394517,"Danville, KY",msa,574,KY
2022-03-31,35.0,394517,"Danville, KY",msa,574,KY
2022-04-30,34.0,394517,"Danville, KY",msa,574,KY
2022-05-31,35.0,394517,"Danville, KY",msa,574,KY
2022-06-30,37.0,394517,"Danville, KY",msa,574,KY
2022-07-31,36.0,394517,"Danville, KY",msa,574,KY
2022-08-31,33.0,394517,"Danville, KY",msa,574,KY
2022-09-30,31.0,394517,"Danville, KY",msa,574,KY
2022-10-31,32.0,394517,"Danville, KY",msa,574,KY
2022-11-30,35.0,394517,"Danville, KY",msa,574,KY
2022-12-31,35.0,394517,"Danville, KY",msa,574,KY
2023-01-31,37.0,394517,"Danville, KY",msa,574,KY
2023-02-28,36.0,394517,"Danville, KY",msa,574,KY
2023-03-31,36.0,394517,"Danville, KY",msa,574,KY
2023-04-30,33.0,394517,"Danville, KY",msa,574,KY
2023-05-31,33.0,394517,"Danville, KY",msa,574,KY
2023-06-30,34.0,394517,"Danville, KY",msa,574,KY
2023-07-31,35.0,394517,"Danville, KY",msa,574,KY
2023-08-31,34.0,394517,"Danville, KY",msa,574,KY
2023-09-30,32.0,394517,"Danville, KY",msa,574,KY
2023-10-31,31.0,394517,"Danville, KY",msa,574,KY
2023-11-30,31.0,394517,"Danville, KY",msa,574,KY
2023-12-31,32.0,394517,"Danville, KY",msa,574,KY
2024-01-31,33.0,394517,"Danville, KY",msa,574,KY
2024-02-29,33.0,394517,"Danville, KY",msa,574,KY
2024-03-31,33.0,394517,"Danville, KY",msa,574,KY
2024-04-30,33.0,394517,"Danville, KY",msa,574,KY
2024-05-31,33.0,394517,"Danville, KY",msa,574,KY
2024-06-30,33.0,394517,"Danville, KY",msa,574,KY
2024-07-31,33.0,394517,"Danville, KY",msa,574,KY
2024-08-31,31.0,394517,"Danville, KY",msa,574,KY
2018-03-31,,394632,"Glasgow, KY",msa,575,KY
2018-04-30,,394632,"Glasgow, KY",msa,575,KY
2018-05-31,,394632,"Glasgow, KY",msa,575,KY
2018-06-30,,394632,"Glasgow, KY",msa,575,KY
2018-07-31,,394632,"Glasgow, KY",msa,575,KY
2018-08-31,,394632,"Glasgow, KY",msa,575,KY
2018-09-30,,394632,"Glasgow, KY",msa,575,KY
2018-10-31,,394632,"Glasgow, KY",msa,575,KY
2018-11-30,,394632,"Glasgow, KY",msa,575,KY
2018-12-31,,394632,"Glasgow, KY",msa,575,KY
2019-01-31,,394632,"Glasgow, KY",msa,575,KY
2019-02-28,,394632,"Glasgow, KY",msa,575,KY
2019-03-31,,394632,"Glasgow, KY",msa,575,KY
2019-04-30,,394632,"Glasgow, KY",msa,575,KY
2019-05-31,,394632,"Glasgow, KY",msa,575,KY
2019-06-30,,394632,"Glasgow, KY",msa,575,KY
2019-07-31,,394632,"Glasgow, KY",msa,575,KY
2019-08-31,,394632,"Glasgow, KY",msa,575,KY
2019-09-30,,394632,"Glasgow, KY",msa,575,KY
2019-10-31,,394632,"Glasgow, KY",msa,575,KY
2019-11-30,,394632,"Glasgow, KY",msa,575,KY
2019-12-31,,394632,"Glasgow, KY",msa,575,KY
2020-01-31,,394632,"Glasgow, KY",msa,575,KY
2020-02-29,,394632,"Glasgow, KY",msa,575,KY
2020-03-31,,394632,"Glasgow, KY",msa,575,KY
2020-04-30,,394632,"Glasgow, KY",msa,575,KY
2020-05-31,,394632,"Glasgow, KY",msa,575,KY
2020-06-30,,394632,"Glasgow, KY",msa,575,KY
2020-07-31,,394632,"Glasgow, KY",msa,575,KY
2020-08-31,,394632,"Glasgow, KY",msa,575,KY
2020-09-30,,394632,"Glasgow, KY",msa,575,KY
2020-10-31,,394632,"Glasgow, KY",msa,575,KY
2020-11-30,,394632,"Glasgow, KY",msa,575,KY
2020-12-31,,394632,"Glasgow, KY",msa,575,KY
2021-01-31,,394632,"Glasgow, KY",msa,575,KY
2021-02-28,,394632,"Glasgow, KY",msa,575,KY
2021-03-31,,394632,"Glasgow, KY",msa,575,KY
2021-04-30,,394632,"Glasgow, KY",msa,575,KY
2021-05-31,,394632,"Glasgow, KY",msa,575,KY
2021-06-30,,394632,"Glasgow, KY",msa,575,KY
2021-07-31,,394632,"Glasgow, KY",msa,575,KY
2021-08-31,,394632,"Glasgow, KY",msa,575,KY
2021-09-30,,394632,"Glasgow, KY",msa,575,KY
2021-10-31,,394632,"Glasgow, KY",msa,575,KY
2021-11-30,,394632,"Glasgow, KY",msa,575,KY
2021-12-31,,394632,"Glasgow, KY",msa,575,KY
2022-01-31,,394632,"Glasgow, KY",msa,575,KY
2022-02-28,,394632,"Glasgow, KY",msa,575,KY
2022-03-31,,394632,"Glasgow, KY",msa,575,KY
2022-04-30,,394632,"Glasgow, KY",msa,575,KY
2022-05-31,,394632,"Glasgow, KY",msa,575,KY
2022-06-30,,394632,"Glasgow, KY",msa,575,KY
2022-07-31,,394632,"Glasgow, KY",msa,575,KY
2022-08-31,,394632,"Glasgow, KY",msa,575,KY
2022-09-30,,394632,"Glasgow, KY",msa,575,KY
2022-10-31,,394632,"Glasgow, KY",msa,575,KY
2022-11-30,,394632,"Glasgow, KY",msa,575,KY
2022-12-31,,394632,"Glasgow, KY",msa,575,KY
2023-01-31,,394632,"Glasgow, KY",msa,575,KY
2023-02-28,,394632,"Glasgow, KY",msa,575,KY
2023-03-31,,394632,"Glasgow, KY",msa,575,KY
2023-04-30,,394632,"Glasgow, KY",msa,575,KY
2023-05-31,,394632,"Glasgow, KY",msa,575,KY
2023-06-30,,394632,"Glasgow, KY",msa,575,KY
2023-07-31,,394632,"Glasgow, KY",msa,575,KY
2023-08-31,,394632,"Glasgow, KY",msa,575,KY
2023-09-30,,394632,"Glasgow, KY",msa,575,KY
2023-10-31,,394632,"Glasgow, KY",msa,575,KY
2023-11-30,,394632,"Glasgow, KY",msa,575,KY
2023-12-31,,394632,"Glasgow, KY",msa,575,KY
2024-01-31,,394632,"Glasgow, KY",msa,575,KY
2024-02-29,30.0,394632,"Glasgow, KY",msa,575,KY
2024-03-31,29.0,394632,"Glasgow, KY",msa,575,KY
2024-04-30,32.0,394632,"Glasgow, KY",msa,575,KY
2024-05-31,32.0,394632,"Glasgow, KY",msa,575,KY
2024-06-30,34.0,394632,"Glasgow, KY",msa,575,KY
2024-07-31,34.0,394632,"Glasgow, KY",msa,575,KY
2024-08-31,34.0,394632,"Glasgow, KY",msa,575,KY
2018-03-31,35.0,395122,"St. Marys, GA",msa,576,GA
2018-04-30,35.0,395122,"St. Marys, GA",msa,576,GA
2018-05-31,37.0,395122,"St. Marys, GA",msa,576,GA
2018-06-30,38.0,395122,"St. Marys, GA",msa,576,GA
2018-07-31,40.0,395122,"St. Marys, GA",msa,576,GA
2018-08-31,39.0,395122,"St. Marys, GA",msa,576,GA
2018-09-30,39.0,395122,"St. Marys, GA",msa,576,GA
2018-10-31,37.0,395122,"St. Marys, GA",msa,576,GA
2018-11-30,37.0,395122,"St. Marys, GA",msa,576,GA
2018-12-31,36.0,395122,"St. Marys, GA",msa,576,GA
2019-01-31,35.0,395122,"St. Marys, GA",msa,576,GA
2019-02-28,34.0,395122,"St. Marys, GA",msa,576,GA
2019-03-31,34.0,395122,"St. Marys, GA",msa,576,GA
2019-04-30,35.0,395122,"St. Marys, GA",msa,576,GA
2019-05-31,35.0,395122,"St. Marys, GA",msa,576,GA
2019-06-30,35.0,395122,"St. Marys, GA",msa,576,GA
2019-07-31,35.0,395122,"St. Marys, GA",msa,576,GA
2019-08-31,35.0,395122,"St. Marys, GA",msa,576,GA
2019-09-30,36.0,395122,"St. Marys, GA",msa,576,GA
2019-10-31,35.0,395122,"St. Marys, GA",msa,576,GA
2019-11-30,36.0,395122,"St. Marys, GA",msa,576,GA
2019-12-31,36.0,395122,"St. Marys, GA",msa,576,GA
2020-01-31,38.0,395122,"St. Marys, GA",msa,576,GA
2020-02-29,37.0,395122,"St. Marys, GA",msa,576,GA
2020-03-31,36.0,395122,"St. Marys, GA",msa,576,GA
2020-04-30,35.0,395122,"St. Marys, GA",msa,576,GA
2020-05-31,38.0,395122,"St. Marys, GA",msa,576,GA
2020-06-30,40.0,395122,"St. Marys, GA",msa,576,GA
2020-07-31,40.0,395122,"St. Marys, GA",msa,576,GA
2020-08-31,39.0,395122,"St. Marys, GA",msa,576,GA
2020-09-30,39.0,395122,"St. Marys, GA",msa,576,GA
2020-10-31,39.0,395122,"St. Marys, GA",msa,576,GA
2020-11-30,40.0,395122,"St. Marys, GA",msa,576,GA
2020-12-31,39.0,395122,"St. Marys, GA",msa,576,GA
2021-01-31,40.0,395122,"St. Marys, GA",msa,576,GA
2021-02-28,39.0,395122,"St. Marys, GA",msa,576,GA
2021-03-31,39.0,395122,"St. Marys, GA",msa,576,GA
2021-04-30,38.0,395122,"St. Marys, GA",msa,576,GA
2021-05-31,38.0,395122,"St. Marys, GA",msa,576,GA
2021-06-30,38.0,395122,"St. Marys, GA",msa,576,GA
2021-07-31,39.0,395122,"St. Marys, GA",msa,576,GA
2021-08-31,37.0,395122,"St. Marys, GA",msa,576,GA
2021-09-30,36.0,395122,"St. Marys, GA",msa,576,GA
2021-10-31,36.0,395122,"St. Marys, GA",msa,576,GA
2021-11-30,36.0,395122,"St. Marys, GA",msa,576,GA
2021-12-31,35.0,395122,"St. Marys, GA",msa,576,GA
2022-01-31,36.0,395122,"St. Marys, GA",msa,576,GA
2022-02-28,36.0,395122,"St. Marys, GA",msa,576,GA
2022-03-31,36.0,395122,"St. Marys, GA",msa,576,GA
2022-04-30,34.0,395122,"St. Marys, GA",msa,576,GA
2022-05-31,34.0,395122,"St. Marys, GA",msa,576,GA
2022-06-30,33.0,395122,"St. Marys, GA",msa,576,GA
2022-07-31,34.0,395122,"St. Marys, GA",msa,576,GA
2022-08-31,33.0,395122,"St. Marys, GA",msa,576,GA
2022-09-30,32.0,395122,"St. Marys, GA",msa,576,GA
2022-10-31,32.0,395122,"St. Marys, GA",msa,576,GA
2022-11-30,31.0,395122,"St. Marys, GA",msa,576,GA
2022-12-31,31.0,395122,"St. Marys, GA",msa,576,GA
2023-01-31,31.0,395122,"St. Marys, GA",msa,576,GA
2023-02-28,30.0,395122,"St. Marys, GA",msa,576,GA
2023-03-31,30.0,395122,"St. Marys, GA",msa,576,GA
2023-04-30,30.0,395122,"St. Marys, GA",msa,576,GA
2023-05-31,32.0,395122,"St. Marys, GA",msa,576,GA
2023-06-30,33.0,395122,"St. Marys, GA",msa,576,GA
2023-07-31,34.0,395122,"St. Marys, GA",msa,576,GA
2023-08-31,34.0,395122,"St. Marys, GA",msa,576,GA
2023-09-30,32.0,395122,"St. Marys, GA",msa,576,GA
2023-10-31,31.0,395122,"St. Marys, GA",msa,576,GA
2023-11-30,30.0,395122,"St. Marys, GA",msa,576,GA
2023-12-31,31.0,395122,"St. Marys, GA",msa,576,GA
2024-01-31,31.0,395122,"St. Marys, GA",msa,576,GA
2024-02-29,32.0,395122,"St. Marys, GA",msa,576,GA
2024-03-31,31.0,395122,"St. Marys, GA",msa,576,GA
2024-04-30,31.0,395122,"St. Marys, GA",msa,576,GA
2024-05-31,32.0,395122,"St. Marys, GA",msa,576,GA
2024-06-30,33.0,395122,"St. Marys, GA",msa,576,GA
2024-07-31,33.0,395122,"St. Marys, GA",msa,576,GA
2024-08-31,33.0,395122,"St. Marys, GA",msa,576,GA
2018-03-31,,394402,"Boone, NC",msa,577,NC
2018-04-30,,394402,"Boone, NC",msa,577,NC
2018-05-31,,394402,"Boone, NC",msa,577,NC
2018-06-30,,394402,"Boone, NC",msa,577,NC
2018-07-31,,394402,"Boone, NC",msa,577,NC
2018-08-31,,394402,"Boone, NC",msa,577,NC
2018-09-30,,394402,"Boone, NC",msa,577,NC
2018-10-31,,394402,"Boone, NC",msa,577,NC
2018-11-30,,394402,"Boone, NC",msa,577,NC
2018-12-31,,394402,"Boone, NC",msa,577,NC
2019-01-31,,394402,"Boone, NC",msa,577,NC
2019-02-28,,394402,"Boone, NC",msa,577,NC
2019-03-31,15.0,394402,"Boone, NC",msa,577,NC
2019-04-30,25.0,394402,"Boone, NC",msa,577,NC
2019-05-31,33.0,394402,"Boone, NC",msa,577,NC
2019-06-30,36.0,394402,"Boone, NC",msa,577,NC
2019-07-31,36.0,394402,"Boone, NC",msa,577,NC
2019-08-31,34.0,394402,"Boone, NC",msa,577,NC
2019-09-30,36.0,394402,"Boone, NC",msa,577,NC
2019-10-31,37.0,394402,"Boone, NC",msa,577,NC
2019-11-30,37.0,394402,"Boone, NC",msa,577,NC
2019-12-31,38.0,394402,"Boone, NC",msa,577,NC
2020-01-31,39.0,394402,"Boone, NC",msa,577,NC
2020-02-29,41.0,394402,"Boone, NC",msa,577,NC
2020-03-31,41.0,394402,"Boone, NC",msa,577,NC
2020-04-30,40.0,394402,"Boone, NC",msa,577,NC
2020-05-31,39.0,394402,"Boone, NC",msa,577,NC
2020-06-30,37.0,394402,"Boone, NC",msa,577,NC
2020-07-31,37.0,394402,"Boone, NC",msa,577,NC
2020-08-31,37.0,394402,"Boone, NC",msa,577,NC
2020-09-30,38.0,394402,"Boone, NC",msa,577,NC
2020-10-31,41.0,394402,"Boone, NC",msa,577,NC
2020-11-30,43.0,394402,"Boone, NC",msa,577,NC
2020-12-31,42.0,394402,"Boone, NC",msa,577,NC
2021-01-31,42.0,394402,"Boone, NC",msa,577,NC
2021-02-28,40.0,394402,"Boone, NC",msa,577,NC
2021-03-31,38.0,394402,"Boone, NC",msa,577,NC
2021-04-30,36.0,394402,"Boone, NC",msa,577,NC
2021-05-31,38.0,394402,"Boone, NC",msa,577,NC
2021-06-30,39.0,394402,"Boone, NC",msa,577,NC
2021-07-31,39.0,394402,"Boone, NC",msa,577,NC
2021-08-31,39.0,394402,"Boone, NC",msa,577,NC
2021-09-30,41.0,394402,"Boone, NC",msa,577,NC
2021-10-31,43.0,394402,"Boone, NC",msa,577,NC
2021-11-30,43.0,394402,"Boone, NC",msa,577,NC
2021-12-31,42.0,394402,"Boone, NC",msa,577,NC
2022-01-31,43.0,394402,"Boone, NC",msa,577,NC
2022-02-28,43.0,394402,"Boone, NC",msa,577,NC
2022-03-31,42.0,394402,"Boone, NC",msa,577,NC
2022-04-30,38.0,394402,"Boone, NC",msa,577,NC
2022-05-31,36.0,394402,"Boone, NC",msa,577,NC
2022-06-30,36.0,394402,"Boone, NC",msa,577,NC
2022-07-31,36.0,394402,"Boone, NC",msa,577,NC
2022-08-31,35.0,394402,"Boone, NC",msa,577,NC
2022-09-30,35.0,394402,"Boone, NC",msa,577,NC
2022-10-31,35.0,394402,"Boone, NC",msa,577,NC
2022-11-30,36.0,394402,"Boone, NC",msa,577,NC
2022-12-31,34.0,394402,"Boone, NC",msa,577,NC
2023-01-31,34.0,394402,"Boone, NC",msa,577,NC
2023-02-28,33.0,394402,"Boone, NC",msa,577,NC
2023-03-31,33.0,394402,"Boone, NC",msa,577,NC
2023-04-30,33.0,394402,"Boone, NC",msa,577,NC
2023-05-31,34.0,394402,"Boone, NC",msa,577,NC
2023-06-30,34.0,394402,"Boone, NC",msa,577,NC
2023-07-31,35.0,394402,"Boone, NC",msa,577,NC
2023-08-31,35.0,394402,"Boone, NC",msa,577,NC
2023-09-30,36.0,394402,"Boone, NC",msa,577,NC
2023-10-31,35.0,394402,"Boone, NC",msa,577,NC
2023-11-30,35.0,394402,"Boone, NC",msa,577,NC
2023-12-31,35.0,394402,"Boone, NC",msa,577,NC
2024-01-31,37.0,394402,"Boone, NC",msa,577,NC
2024-02-29,35.0,394402,"Boone, NC",msa,577,NC
2024-03-31,35.0,394402,"Boone, NC",msa,577,NC
2024-04-30,33.0,394402,"Boone, NC",msa,577,NC
2024-05-31,34.0,394402,"Boone, NC",msa,577,NC
2024-06-30,34.0,394402,"Boone, NC",msa,577,NC
2024-07-31,33.0,394402,"Boone, NC",msa,577,NC
2024-08-31,33.0,394402,"Boone, NC",msa,577,NC
2018-03-31,31.0,395204,"Warrensburg, MO",msa,578,MO
2018-04-30,31.0,395204,"Warrensburg, MO",msa,578,MO
2018-05-31,32.0,395204,"Warrensburg, MO",msa,578,MO
2018-06-30,34.0,395204,"Warrensburg, MO",msa,578,MO
2018-07-31,36.0,395204,"Warrensburg, MO",msa,578,MO
2018-08-31,36.0,395204,"Warrensburg, MO",msa,578,MO
2018-09-30,34.0,395204,"Warrensburg, MO",msa,578,MO
2018-10-31,32.0,395204,"Warrensburg, MO",msa,578,MO
2018-11-30,32.0,395204,"Warrensburg, MO",msa,578,MO
2018-12-31,31.0,395204,"Warrensburg, MO",msa,578,MO
2019-01-31,34.0,395204,"Warrensburg, MO",msa,578,MO
2019-02-28,35.0,395204,"Warrensburg, MO",msa,578,MO
2019-03-31,36.0,395204,"Warrensburg, MO",msa,578,MO
2019-04-30,36.0,395204,"Warrensburg, MO",msa,578,MO
2019-05-31,36.0,395204,"Warrensburg, MO",msa,578,MO
2019-06-30,37.0,395204,"Warrensburg, MO",msa,578,MO
2019-07-31,37.0,395204,"Warrensburg, MO",msa,578,MO
2019-08-31,37.0,395204,"Warrensburg, MO",msa,578,MO
2019-09-30,36.0,395204,"Warrensburg, MO",msa,578,MO
2019-10-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2019-11-30,39.0,395204,"Warrensburg, MO",msa,578,MO
2019-12-31,40.0,395204,"Warrensburg, MO",msa,578,MO
2020-01-31,39.0,395204,"Warrensburg, MO",msa,578,MO
2020-02-29,38.0,395204,"Warrensburg, MO",msa,578,MO
2020-03-31,36.0,395204,"Warrensburg, MO",msa,578,MO
2020-04-30,36.0,395204,"Warrensburg, MO",msa,578,MO
2020-05-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2020-06-30,39.0,395204,"Warrensburg, MO",msa,578,MO
2020-07-31,40.0,395204,"Warrensburg, MO",msa,578,MO
2020-08-31,40.0,395204,"Warrensburg, MO",msa,578,MO
2020-09-30,40.0,395204,"Warrensburg, MO",msa,578,MO
2020-10-31,41.0,395204,"Warrensburg, MO",msa,578,MO
2020-11-30,38.0,395204,"Warrensburg, MO",msa,578,MO
2020-12-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2021-01-31,37.0,395204,"Warrensburg, MO",msa,578,MO
2021-02-28,39.0,395204,"Warrensburg, MO",msa,578,MO
2021-03-31,39.0,395204,"Warrensburg, MO",msa,578,MO
2021-04-30,39.0,395204,"Warrensburg, MO",msa,578,MO
2021-05-31,39.0,395204,"Warrensburg, MO",msa,578,MO
2021-06-30,39.0,395204,"Warrensburg, MO",msa,578,MO
2021-07-31,40.0,395204,"Warrensburg, MO",msa,578,MO
2021-08-31,40.0,395204,"Warrensburg, MO",msa,578,MO
2021-09-30,39.0,395204,"Warrensburg, MO",msa,578,MO
2021-10-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2021-11-30,37.0,395204,"Warrensburg, MO",msa,578,MO
2021-12-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2022-01-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2022-02-28,39.0,395204,"Warrensburg, MO",msa,578,MO
2022-03-31,39.0,395204,"Warrensburg, MO",msa,578,MO
2022-04-30,38.0,395204,"Warrensburg, MO",msa,578,MO
2022-05-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2022-06-30,37.0,395204,"Warrensburg, MO",msa,578,MO
2022-07-31,37.0,395204,"Warrensburg, MO",msa,578,MO
2022-08-31,37.0,395204,"Warrensburg, MO",msa,578,MO
2022-09-30,36.0,395204,"Warrensburg, MO",msa,578,MO
2022-10-31,35.0,395204,"Warrensburg, MO",msa,578,MO
2022-11-30,33.0,395204,"Warrensburg, MO",msa,578,MO
2022-12-31,33.0,395204,"Warrensburg, MO",msa,578,MO
2023-01-31,33.0,395204,"Warrensburg, MO",msa,578,MO
2023-02-28,34.0,395204,"Warrensburg, MO",msa,578,MO
2023-03-31,34.0,395204,"Warrensburg, MO",msa,578,MO
2023-04-30,33.0,395204,"Warrensburg, MO",msa,578,MO
2023-05-31,34.0,395204,"Warrensburg, MO",msa,578,MO
2023-06-30,37.0,395204,"Warrensburg, MO",msa,578,MO
2023-07-31,37.0,395204,"Warrensburg, MO",msa,578,MO
2023-08-31,36.0,395204,"Warrensburg, MO",msa,578,MO
2023-09-30,34.0,395204,"Warrensburg, MO",msa,578,MO
2023-10-31,33.0,395204,"Warrensburg, MO",msa,578,MO
2023-11-30,34.0,395204,"Warrensburg, MO",msa,578,MO
2023-12-31,32.0,395204,"Warrensburg, MO",msa,578,MO
2024-01-31,33.0,395204,"Warrensburg, MO",msa,578,MO
2024-02-29,34.0,395204,"Warrensburg, MO",msa,578,MO
2024-03-31,36.0,395204,"Warrensburg, MO",msa,578,MO
2024-04-30,37.0,395204,"Warrensburg, MO",msa,578,MO
2024-05-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2024-06-30,38.0,395204,"Warrensburg, MO",msa,578,MO
2024-07-31,38.0,395204,"Warrensburg, MO",msa,578,MO
2024-08-31,35.0,395204,"Warrensburg, MO",msa,578,MO
2018-03-31,,394634,"Gloversville, NY",msa,579,NY
2018-04-30,,394634,"Gloversville, NY",msa,579,NY
2018-05-31,,394634,"Gloversville, NY",msa,579,NY
2018-06-30,,394634,"Gloversville, NY",msa,579,NY
2018-07-31,,394634,"Gloversville, NY",msa,579,NY
2018-08-31,,394634,"Gloversville, NY",msa,579,NY
2018-09-30,,394634,"Gloversville, NY",msa,579,NY
2018-10-31,,394634,"Gloversville, NY",msa,579,NY
2018-11-30,,394634,"Gloversville, NY",msa,579,NY
2018-12-31,,394634,"Gloversville, NY",msa,579,NY
2019-01-31,,394634,"Gloversville, NY",msa,579,NY
2019-02-28,,394634,"Gloversville, NY",msa,579,NY
2019-03-31,,394634,"Gloversville, NY",msa,579,NY
2019-04-30,,394634,"Gloversville, NY",msa,579,NY
2019-05-31,,394634,"Gloversville, NY",msa,579,NY
2019-06-30,,394634,"Gloversville, NY",msa,579,NY
2019-07-31,,394634,"Gloversville, NY",msa,579,NY
2019-08-31,,394634,"Gloversville, NY",msa,579,NY
2019-09-30,,394634,"Gloversville, NY",msa,579,NY
2019-10-31,,394634,"Gloversville, NY",msa,579,NY
